album_id,album_name,release_date,release_date_precision,total_tracks,album_type
6jOW7KKTXFqMiQicp8AfHq,"A.R. Rahman Hits, Vol.2",2023-03-03,day,20,album
7eBKHNP3IAPfqvZP7CE1t4,Kochadaiiyaan (Original Score),2023-02-20,day,20,album
5N3d00pvonn9vvse6TI42m,Vendhu Thanindhathu Kaadu (Original Score),2023-02-12,day,13,album
6dLjvsbsgfPIapd1CAiMLg,99 Songs (Original Score),2022-12-22,day,29,album
6U9fwE5eyEfj2htufWf9we,Sivaji,2022-04-13,day,7,album
4gAUrEjPH7kC6Hwtnx5uhj,Galatta Kalyaanam,2021-12-13,day,7,album
3UkMnMdm9Jq7eXIfv0YMXm,Atrangi Re,2021-12-06,day,7,album
0DUOcMjmHGVLqFkWqfNC0z,Mimi (Original Motion Picture Soundtrack),2021-07-16,day,7,album
35GdOmCjKeyiMcJVtpAwoG,99 Songs (Telugu) [Original Motion Picture Soundtrack],2021-03-25,day,14,album
4EcPtS9idSB8zy98Cl5yEf,99 Songs (Tamil) [Original Motion Picture Soundtrack],2021-03-25,day,14,album
4F2EnyO5MqwbWcRJRneAhC,Hits Of Vairamuthu,2020-07-10,day,20,album
5zrZPXoYsu772sB3CwVuxr,Dil Bechara (Original Motion Picture Soundtrack),2020-07-10,day,9,album
2JA2oTYjsDwDjQuvBleX9F,Rani Se Mardaani,2020-03-20,day,15,album
1zvGX2DvCOUKaRqfcWZrLi,99 Songs (Original Motion Picture Soundtrack),2020-03-20,day,14,album
33eW2vYkSWiOf0IULhP2va,Why? (The Musical),2020,year,9,album
50CnjrIP43au3WYC8ufkur,2.0 (Original Sound Track),2019-06-28,day,15,album
3bxnbterkUaeYkhTUEKBZP,Enthiran (Original Background Score),2018-11-28,day,14,album
4qvZIh9L4jfjwPaAnvTfCZ,Nawab (Original Motion Picture Soundtrack),2018-09-28,day,7,album
6UCpyUkUVuNbWYUSefQVLc,Chekka Chivantha Vaanam (Original Motion Picture Soundtrack),2018-09-28,day,7,album
2bn3hJb93sybWkTYnSJGrT,Harmony with A.R. Rahman,2018-08-15,day,12,album
451eS4BHBx3XZXLQG1EkQC,Music Special,2018-04-13,day,9,album
407E0npGz085kKFAiKvEtz,Beyond The Clouds,2018-04-05,day,15,album
7wPoYPGuyAN6bvavLZ8y9E,Rahman All Time Hits,2018-02-07,day,15,album
68pv59EQ8Hf6BDfebTFOus,Birthday Special A.R. Rahman Telugu Hits,2018-01-06,day,10,album
3jpGiDfoss6OFTy9Y6Y0LW,Birthday Special A.R. Rahman Tamil Hits,2018-01-06,day,10,album
1FXEThpTUjegsaxGqpKKGA,The Flying Lotus,2017-10-06,day,9,album
5iShdExLEWnGWf4JxF1O34,A. R. Rahman Best BGM Compilation,2017-08-29,day,8,album
6rN8gFUuvMkw9yyKInqyOx,Mom,2017-06-27,day,7,album
1BqDnHcyvW4wRpskiyYs3q,Viceroy's House (Original Motion Picture Soundtrack),2017-03-03,day,16,album
